資料名,資料名（ヨミ）,コレクション名,言語,種別,編著者,編著者（ヨミ）,発行者,出版地,刊行年、書写年等,刊行年月日（西暦),形態,内容記述,Alternative Title,Alternative,iiif viewer,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,viewingHint,コレクション,ソート用項目,西暦,IIIFマニフェストURI,IIIF Search API URI,アノテーション付きIIIFマニフェストURI,Link to TAPAS Project,Text with Rich Text Format,# of media
扶氏経験遺訓 1-3巻,フシケイケンイクン|Fushikeiken'ikun,古典籍コレクション [医学図書館],日本語,,扶歇蘭度(フーフェランド)原著|緒方洪庵 等訳,,,,安政4年,,11冊 26cm,請求記号: HR:105、HR:106 附録、HR:110 薬方|資料解説: C. W. Hufeland (独 1762-1836) 「 Enchiridion medicum oder Anleitung zur medicinischen Praxis 」 の一部分を訳した。江戸時代の刊本西洋内科書として最も完備したものとされている。 訳者の緒方洪庵は、西洋医学所(種痘所の改称)の2代目頭取を務めた。|刊年2: 1857,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/3ce0a72f-5fe9-49b7-8d8a-4ae24668407c.json,3ce0a72f-5fe9-49b7-8d8a-4ae24668407c,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/document/3ce0a72f-5fe9-49b7-8d8a-4ae24668407c,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/8c74f46ea692dff0630860418c9d41382d00de34.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/612075,"東京大学医学図書館 Medical Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,医学図書館デジタル史料室,001,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/3ce0a72f-5fe9-49b7-8d8a-4ae24668407c/manifest,,,,,79
[家族写真],カゾク シャシン|Kazoku shashin,精神医学教室旧蔵ガラス乾板,,静止画資料,撮影者不明,,,,,不明,小キャビネ,"解説: 家族の記念撮影と思われる。男性は昭和19年精神医学教室(no.8,11)後列右端と同一人物か。|状態: 剥離あり、銀鏡化|現秩序no.: 10|紙焼き記載no.: A18",,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/2b21667d-4cfe-6c73-377e-59cafb4e2c78.json,2b21667d-4cfe-6c73-377e-59cafb4e2c78,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/document/2b21667d-4cfe-6c73-377e-59cafb4e2c78,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/5ef336572308dde4fa2b56099ecfb0e20a9401ab.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1380063,"東京大学医学図書館 Medical Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,医学図書館デジタル史料室,0010,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/2b21667d-4cfe-6c73-377e-59cafb4e2c78/manifest,,,,,1
昭和19年精神医学教室 b,ショウワ 19ネン セイシン イガク キョウシツ|Showa 19nen Seishin Igaku Kyoshitsu,精神医学教室旧蔵ガラス乾板,,静止画資料,撮影者不明,,,,,1944年,小キャビネ,解説: 掲載: 昭和19年第2次大戦中の精神医学教室。今はなき南研究棟北側の車寄せにて。前列中央[左側から3番目]に内村裕之教授。--『東京大学精神医学教室120年』p184。no.9と同場面。|状態: 疵あり、銀鏡化|現秩序no.: 11|紙焼き記載no.: 紙焼き写真なし,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/15dd803e-8bab-555e-9cb3-3cfb789b28df.json,15dd803e-8bab-555e-9cb3-3cfb789b28df,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/document/15dd803e-8bab-555e-9cb3-3cfb789b28df,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/c3a12d494ad997621f4bca7c4d5221e32042caeb.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1380064,"東京大学医学図書館 Medical Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,医学図書館デジタル史料室,0011,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/15dd803e-8bab-555e-9cb3-3cfb789b28df/manifest,,,,,1
[軍人写真] a,グンジン シャシン|Gunjin shashin,精神医学教室旧蔵ガラス乾板,,静止画資料,撮影者不明,,,,,不明,小キャビネ,解説: 軍人の肖像写真。背景は撮影関係の機器やフィルム等が収納された部屋。no.12と同場面|状態: 剥離あり、銀鏡化|現秩序no.: 12|紙焼き記載no.: A15,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/f6bfa6e6-7ea9-21b0-0edc-edab5f21447a.json,f6bfa6e6-7ea9-21b0-0edc-edab5f21447a,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/document/f6bfa6e6-7ea9-21b0-0edc-edab5f21447a,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/f1f19e99653643c76d12941ec0355dd0de04c482.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1380065,"東京大学医学図書館 Medical Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,医学図書館デジタル史料室,0012,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/f6bfa6e6-7ea9-21b0-0edc-edab5f21447a/manifest,,,,,1
[軍人写真] b,グンジン シャシン|Gunjin shashin,精神医学教室旧蔵ガラス乾板,,静止画資料,撮影者不明,,,,,不明,小キャビネ,解説: 軍人の肖像写真。背景は撮影関係の機器やフィルム等が収納された部屋。no.11と同場面|状態: 銀鏡化|現秩序no.: 13|紙焼き記載no.: A14,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/8e8312e2-8a52-01a6-46d1-81980df845ad.json,8e8312e2-8a52-01a6-46d1-81980df845ad,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/document/8e8312e2-8a52-01a6-46d1-81980df845ad,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/d588e21369807d32a29a30917fd30a6ea1838f6a.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1380066,"東京大学医学図書館 Medical Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,医学図書館デジタル史料室,0013,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/8e8312e2-8a52-01a6-46d1-81980df845ad/manifest,,,,,1
シーボルトの別荘(ライデン気候馴化園),シーボルト ノ ベッソウ ライデン キコウ ジュンカエン|Shiboruto no besso Raiden Kiko Junkaen,精神医学教室旧蔵ガラス乾板,日本語,静止画資料,撮影者不明,,,,,1926年以前,小キャビネ,解説: 掲載: シーボルト先生の気候馴化園内なる「日本」と云へる別荘 --『シーボルト先生 : 其生涯及功業』第百十一図。|現秩序no.: 14|紙焼き記載no.: C14,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/28e94e84-76ab-95be-4658-01311b7843f2.json,28e94e84-76ab-95be-4658-01311b7843f2,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/document/28e94e84-76ab-95be-4658-01311b7843f2,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/7e0df938d389a9281c5693ee73647c46feccec8f.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1380067,"東京大学医学図書館 Medical Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,医学図書館デジタル史料室,0014,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/28e94e84-76ab-95be-4658-01311b7843f2/manifest,,,,,1
鳴滝塾,ナルタキジュク|Narutakijuku,精神医学教室旧蔵ガラス乾板,日本語,静止画資料,撮影者不明,,,,,1926年以前,小キャビネ,解説: 掲載: 鳴滝に於けるシーボルト先生の塾舎(アレキサンデル・フォン・シーボルトの「シーボルト先生第二次日本行記」に所載) --『シーボルト先生 : 其生涯及功業』第四十三図|現秩序no.: 15|紙焼き記載no.: A13,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/0858106a-6802-301f-78fb-2dad9a041aaf.json,0858106a-6802-301f-78fb-2dad9a041aaf,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/document/0858106a-6802-301f-78fb-2dad9a041aaf,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/9a16999a135d12555ec891f992cce639737f5623.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1380068,"東京大学医学図書館 Medical Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,医学図書館デジタル史料室,0015,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/0858106a-6802-301f-78fb-2dad9a041aaf/manifest,,,,,1
シーボルト写真(1859年),シーボルト シャシン 1859ネン|Shiboruto shashin 1859nen,精神医学教室旧蔵ガラス乾板,,静止画資料,撮影者不明,,,,,1926年以前,小キャビネ,解説: 掲載: シーボルト先生再渡來當時の寫眞(一八五九年) --『シーボルト先生 : 其生涯及功業』第百二十六図。|状態: カビ多|現秩序no.: 16|紙焼き記載no.: A12,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/1d943203-1710-5878-0363-212818333837.json,1d943203-1710-5878-0363-212818333837,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/document/1d943203-1710-5878-0363-212818333837,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/ed7cc32d1600329b47725cb89d9692b405676e4c.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1380069,"東京大学医学図書館 Medical Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,医学図書館デジタル史料室,0016,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/1d943203-1710-5878-0363-212818333837/manifest,,,,,1
オランダ使節団の行列b,オランダ シセツダン ノ ギョウレツ|Oranda Shisetsudan no gyoretsu,精神医学教室旧蔵ガラス乾板,,静止画資料,撮影者不明,,,,,1926年以前,小キャビネ,解説: オランダ使節団の行列(『日本』II第4図)掲載: シーボルト先生の一行が大村灣を過ぐる圖(シーボルト先生著書(日本)所載) --『シーボルト先生 : 其生涯及功業』第百五十二図。no.8と同一。|加工: マスキング|現秩序no.: 17|紙焼き記載no.: A11,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/dd2429d1-0f79-113c-92f1-72a09a50210b.json,dd2429d1-0f79-113c-92f1-72a09a50210b,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/document/dd2429d1-0f79-113c-92f1-72a09a50210b,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/0d224512dc076dcdffe2e7afd2470058460f077b.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1380070,"東京大学医学図書館 Medical Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,医学図書館デジタル史料室,0017,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/dd2429d1-0f79-113c-92f1-72a09a50210b/manifest,,,,,1
出島図,デジマ ズ|Dejima zu,精神医学教室旧蔵ガラス乾板,オランダ語,静止画資料,撮影者不明,,,,,1926年以前,小キャビネ,解説: 掲載: 出島の図(シーボルト先生「日本」所載)--『シーボルト先生 : 其生涯及功業』第二十九図|加工: マスキング(はがれかけ)|現秩序no.: 18|紙焼き記載no.: A10,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/60a5f018-5125-4723-518a-2874b35b644b.json,60a5f018-5125-4723-518a-2874b35b644b,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/document/60a5f018-5125-4723-518a-2874b35b644b,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/4e4f88b9162844b58dbf7d4fc14ff1b02b7d4e9a.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1380071,"東京大学医学図書館 Medical Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,医学図書館デジタル史料室,0018,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/60a5f018-5125-4723-518a-2874b35b644b/manifest,,,,,1
其扇肖像,ソノギ ショウゾウ|Sonogi shozo,精神医学教室旧蔵ガラス乾板,オランダ語,静止画資料,撮影者不明,,,,,1926年以前,小キャビネ,解説: 掲載: 其扇の像(シーボルト先生「日本」所載)--『シーボルト先生 : 其生涯及功業』第百三図|現秩序no.: 19|紙焼き記載no.: A9,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/04b20ab9-38f7-a707-63b1-325a09ab5b12.json,04b20ab9-38f7-a707-63b1-325a09ab5b12,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/document/04b20ab9-38f7-a707-63b1-325a09ab5b12,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/da56b97d8f44381bc712f67174b66ff550563d85.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1380072,"東京大学医学図書館 Medical Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,医学図書館デジタル史料室,0019,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/04b20ab9-38f7-a707-63b1-325a09ab5b12/manifest,,,,,1
扶氏経験遺訓 4-7巻,フシケイケンイクン|Fushikeiken'ikun,古典籍コレクション [医学図書館],日本語,,扶歇蘭度(フーフェランド)原著|緒方洪庵 等訳,,,,安政4年,,11冊 26cm,請求記号: HR:105、HR:106 附録、HR:110 薬方|資料解説: C. W. Hufeland (独 1762-1836) 「 Enchiridion medicum oder Anleitung zur medicinischen Praxis 」 の一部分を訳した。江戸時代の刊本西洋内科書として最も完備したものとされている。 訳者の緒方洪庵は、西洋医学所(種痘所の改称)の2代目頭取を務めた。|刊年2: 1857,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/ad8dc6d2-642b-43fa-905a-d95c3437d0fe.json,ad8dc6d2-642b-43fa-905a-d95c3437d0fe,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/document/ad8dc6d2-642b-43fa-905a-d95c3437d0fe,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/64a143cc0d6bb622f97b3133ff59a58eef02bda8.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/612074,"東京大学医学図書館 Medical Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,医学図書館デジタル史料室,002,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/ad8dc6d2-642b-43fa-905a-d95c3437d0fe/manifest,,,,,105
『日本植物志』扉,ニホン ショクブツシ トビラ|Nihon Shokubutsushi tobira,精神医学教室旧蔵ガラス乾板,フランス語,静止画資料,撮影者不明,,,,,1926年以前,小キャビネ,解説: HOMMAGE ANNE PAULOWNA. 掲載: 日本植物志の扉(パウロウナ妃殿下に捧ぐと記す)--『シーボルト先生 : 其生涯及功業』第百六十九図。|加工: マスキング|現秩序no.: 20|紙焼き記載no.: A8,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/5c6cef58-2c1f-9573-3cd3-8eecfc8334a1.json,5c6cef58-2c1f-9573-3cd3-8eecfc8334a1,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/document/5c6cef58-2c1f-9573-3cd3-8eecfc8334a1,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/44969b846dde990d8734f5d5d40d2339c5583b3b.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1380073,"東京大学医学図書館 Medical Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,医学図書館デジタル史料室,0020,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/5c6cef58-2c1f-9573-3cd3-8eecfc8334a1/manifest,,,,,1
サンショウウオ/Salamandr Maxima,サンショウウオ|Sanshouo,精神医学教室旧蔵ガラス乾板,ラテン語,静止画資料,撮影者不明,,,,,不明,小キャビネ,解説: 掲載: 『日本動物誌』3巻 哺乳類/爬虫類 (”Fauna Japonica” 3: Mammalia Reptilla)|加工: マスキング(左辺・右辺は剥がれている)|現秩序no.: 21|紙焼き記載no.: A7,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/ffa61ca3-1171-3564-2cc0-38bd78ca9239.json,ffa61ca3-1171-3564-2cc0-38bd78ca9239,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/document/ffa61ca3-1171-3564-2cc0-38bd78ca9239,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/ebeb87632a48098feac8e1537664e80571d8eedd.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1380074,"東京大学医学図書館 Medical Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,医学図書館デジタル史料室,0021,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/ffa61ca3-1171-3564-2cc0-38bd78ca9239/manifest,,,,,1
最上徳内肖像,モガミ トクナイ ショウゾウ|Mogami Tokunai shozo,精神医学教室旧蔵ガラス乾板,日本語,静止画資料,撮影者不明,,,,,1926年以前,小キャビネ,解説: 掲載: 最上徳内の肖像(シーボルト先生の著作「日本」に出づ)--『シーボルト先生 : 其生涯及功業』第二百四十六図|状態: 剥離あり|現秩序no.: 22|紙焼き記載no.: A6,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/294ee0ce-6f99-79f9-470f-2da160df15c2.json,294ee0ce-6f99-79f9-470f-2da160df15c2,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/document/294ee0ce-6f99-79f9-470f-2da160df15c2,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/68ee01f7c461ed3b91d0502741bd29c120b48fff.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1380075,"東京大学医学図書館 Medical Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,医学図書館デジタル史料室,0022,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/294ee0ce-6f99-79f9-470f-2da160df15c2/manifest,,,,,1
新宮涼庭画像,シングウ リョウテイ ガゾウ|Shingu Ryotei gazo,精神医学教室旧蔵ガラス乾板,,静止画資料,撮影者不明,,,,,1926年以前,小キャビネ,解説: 掲載: 新宮涼庭の画像(呉秀三藏)--『シーボルト先生 : 其生涯及功業』第二百五十四図|加工: マスキング|現秩序no.: 23|紙焼き記載no.: A5,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/a35a98f0-32bc-4284-08e2-a8431def2546.json,a35a98f0-32bc-4284-08e2-a8431def2546,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/document/a35a98f0-32bc-4284-08e2-a8431def2546,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/11047a531c28a58986dad9bf5c730a98b140769c.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1380076,"東京大学医学図書館 Medical Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,医学図書館デジタル史料室,0023,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/a35a98f0-32bc-4284-08e2-a8431def2546/manifest,,,,,1
水谷豊文写生莨菪図、伊藤圭介記述同由来記,ミズタニ ホウブン シャセイ ハシリドコロ ズ イトウ ケイスケ キジュツ ドウ ユライキ|Mizutani Hobun shasei hashidokoro zu Ito Keisuke kijutsu do yuraiki,精神医学教室旧蔵ガラス乾板,日本語,静止画資料,撮影者不明|水谷豊文|伊藤圭介,"ミズタニ ホウブン, イトウ ケイスケ",,,,1926年以前,小キャビネ,解説: 掲載: 水谷豊文写生の莨菪図、伊藤圭介の識せる同由来記(仙臺伊藤篤太郞君藏)--『シーボルト先生 : 其生涯及功業』第二百四十九図|加工: マスキング(中央横にもあり)|現秩序no.: 24|紙焼き記載no.: A4,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/6eabb528-3155-61b8-9cbf-f16d7f1d3f7a.json,6eabb528-3155-61b8-9cbf-f16d7f1d3f7a,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/document/6eabb528-3155-61b8-9cbf-f16d7f1d3f7a,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/c38cfe4f29299549f63dc8ef2f439a80059af616.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1380077,"東京大学医学図書館 Medical Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,医学図書館デジタル史料室,0024,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/6eabb528-3155-61b8-9cbf-f16d7f1d3f7a/manifest,,,,,1
土生玄碩書,ハブ ゲンセキ ショ|Habu Genseki sho,精神医学教室旧蔵ガラス乾板,日本語,静止画資料,撮影者不明|土生玄碩,ハブ ゲンセキ,,,,1926年以前,小キャビネ,解説: 掲載: 土生玄碩筆蹟(内田正君藏)--『シーボルト先生 : 其生涯及功業』第二百四十八図、『土生玄碩先生第百五十年記念會贈位祝典記事』|加工: マスキング|状態: 割れあり(テープで補修)|現秩序no.: 25|紙焼き記載no.: A3,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/b9fcc320-4652-3940-6768-3984ef651a47.json,b9fcc320-4652-3940-6768-3984ef651a47,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/document/b9fcc320-4652-3940-6768-3984ef651a47,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/0131fb9ec1a9210ddb16738299305a3c79fef9f0.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1380078,"東京大学医学図書館 Medical Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,医学図書館デジタル史料室,0025,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/b9fcc320-4652-3940-6768-3984ef651a47/manifest,,,,,1
土生玄昌書,ハブ ゲンショウ ショ|Habu Gensho sho,精神医学教室旧蔵ガラス乾板,日本語,静止画資料,撮影者不明|土生玄昌,ハブ ゲンショウ,,,,1926年以前,小キャビネ,解説: 掲載: 土生玄昌の書(東京土生敦君旧藏)--『シーボルト先生 : 其生涯及功業』第二百五十図|加工: マスキング|現秩序no.: 26|紙焼き記載no.: A2,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/c2536931-9500-5c1a-5379-32e4b61e58e0.json,c2536931-9500-5c1a-5379-32e4b61e58e0,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/medlib/document/c2536931-9500-5c1a-5379-32e4b61e58e0,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/4c27ddaae7e2e5b5ad836fa843ffc73863b12866.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1380079,"東京大学医学図書館 Medical Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,医学図書館デジタル史料室,0026,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c2536931-9500-5c1a-5379-32e4b61e58e0/manifest,,,,,1
