タイトル,分類1,分類2,解説1,第一中学本,図版番号,開成学校本,キーワード,サイズ,帝国大学本,タイトル2,東京大学本,解説2,解説3,解説4,解説5,解説6,iiif viewer,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,viewingHint,コレクション,ソート用項目,西暦,IIIFマニフェストURI,IIIF Search API URI,アノテーション付きIIIFマニフェストURI,Link to TAPAS Project,Text with Rich Text Format,# of media
PL.60 MENUISERIE No.3,MENUISERIE,No.3,PAVILLONS.,○,PL.60,―,建物,A3,○,ÉTUDES DE DESSIN AU LAVIS.,―,DESSIN DES PAVILLONS DE GARDES-CONCIERGES &Eacute;TABLIS DANS LES SQUARES DU TEMPLE ET DE LA TOUR St. JACQUES &Agrave; PARIS.,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/4044b99e-67b8-6a3d-21ae-e68dc2ca5ad6.json,4044b99e-67b8-6a3d-21ae-e68dc2ca5ad6,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit/document/4044b99e-67b8-6a3d-21ae-e68dc2ca5ad6,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/d673fc956823d400a880bd1b00a94060c54c3482.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/541622,"東京大学大学院総合文化研究科・教養学部 駒場博物館 KOMABA MUSEUM, Graduate School of Arts and Sciences and College of Arts and Sciences, The University of Tokyo, JAPAN",,,スタニスラス・プチ 『産業実務家』,059,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/4044b99e-67b8-6a3d-21ae-e68dc2ca5ad6/manifest,,,,,1
PL.61-66 MÉCANIQUE No.47-52,MÉCANIQUE,No.47-52,MACHINES A VAPEUR.-LOCOMOTIVES.-,○,PL.61-66,―,蒸気機関車,A1,―,-,○,DESSIN DETAILLE DE NOUVELLES LOCOMOTIVES A GRANDE VITESSE (DU SYSTEME CRAMPTON),,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/46160e88-2699-7e9c-a22a-7b461b870b77.json,46160e88-2699-7e9c-a22a-7b461b870b77,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit/document/46160e88-2699-7e9c-a22a-7b461b870b77,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/c36affaab44a77d8e9b17fac76c8696293491bb4.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/541621,"東京大学大学院総合文化研究科・教養学部 駒場博物館 KOMABA MUSEUM, Graduate School of Arts and Sciences and College of Arts and Sciences, The University of Tokyo, JAPAN",,,スタニスラス・プチ 『産業実務家』,060,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/46160e88-2699-7e9c-a22a-7b461b870b77/manifest,,,,,1
PL.67 MÉCANIQUE No.53,MÉCANIQUE,No.53,MARTEAUX DE FORGES.,○,PL.67,―,機械/蒸気ハンマー,A3,―,ÉTUDES DE DESSIN AU LAVIS.,○,DESSIN D'UN NOUVEAU MARTEAU-PILON &Agrave; VAPEUR.,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/f1571e2c-2f9c-1b7d-17f6-5d6a3c05a646.json,f1571e2c-2f9c-1b7d-17f6-5d6a3c05a646,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit/document/f1571e2c-2f9c-1b7d-17f6-5d6a3c05a646,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/ba7ed58cc1fa38d38d504d4bce46366070176f64.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/541620,"東京大学大学院総合文化研究科・教養学部 駒場博物館 KOMABA MUSEUM, Graduate School of Arts and Sciences and College of Arts and Sciences, The University of Tokyo, JAPAN",,,スタニスラス・プチ 『産業実務家』,061,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/f1571e2c-2f9c-1b7d-17f6-5d6a3c05a646/manifest,,,,,1
PL.68 MENUISERIE No.4,MENUISERIE,No.4,PORTES,○,PL.68,―,扉,A3,○,ÉTUDES DE DESSIN AU LAVIS.,―,DESSIN DE LA PORTE DE LA NOUVELLE &Eacute;GLISE DE GRISY-SUR-SEINE.. (SEINE-ET-MARNE),,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/b2cfdc9c-448f-412a-367b-55fdee216f39.json,b2cfdc9c-448f-412a-367b-55fdee216f39,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit/document/b2cfdc9c-448f-412a-367b-55fdee216f39,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/0432fbe89dcb45c0bafb4c80a332829b1a29242a.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/541619,"東京大学大学院総合文化研究科・教養学部 駒場博物館 KOMABA MUSEUM, Graduate School of Arts and Sciences and College of Arts and Sciences, The University of Tokyo, JAPAN",,,スタニスラス・プチ 『産業実務家』,062,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/b2cfdc9c-448f-412a-367b-55fdee216f39/manifest,,,,,1
PL.69 MÉCANIQUE No.54,MÉCANIQUE,No.54,GRUES.,○,PL.69,―,機械/起重機,A3,○,ÉTUDES DE DESSIN AU LAVIS.,―,DESSIN D&Eacute;TAILL&Eacute; D'UNE GRUE FIXE DITE A POTENCE.,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/4c114e24-8399-6fb1-6e3c-1c62219d6d81.json,4c114e24-8399-6fb1-6e3c-1c62219d6d81,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit/document/4c114e24-8399-6fb1-6e3c-1c62219d6d81,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/ffeb34086737b32a99f5551f12c798914cbd97d5.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/541618,"東京大学大学院総合文化研究科・教養学部 駒場博物館 KOMABA MUSEUM, Graduate School of Arts and Sciences and College of Arts and Sciences, The University of Tokyo, JAPAN",,,スタニスラス・プチ 『産業実務家』,063,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/4c114e24-8399-6fb1-6e3c-1c62219d6d81/manifest,,,,,1
PL.70 MÉCANIQUE No.55,MÉCANIQUE,No.55,MOULINS.,○,PL.70,―,機械/破砕機,A3,―,ÉTUDES DE DESSIN AU LAVIS.,○,ENSEMBLE D'UN MOULIN PORTATIF ACTIONN&Eacute; PAR UNE MACHINE LOCOMOBILE.,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/c0381259-054f-83ca-6322-85efaf6892f9.json,c0381259-054f-83ca-6322-85efaf6892f9,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit/document/c0381259-054f-83ca-6322-85efaf6892f9,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/978334f6bb6f9f4b8c4f7ec3e139fd364fd9b9ca.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/541617,"東京大学大学院総合文化研究科・教養学部 駒場博物館 KOMABA MUSEUM, Graduate School of Arts and Sciences and College of Arts and Sciences, The University of Tokyo, JAPAN",,,スタニスラス・プチ 『産業実務家』,064,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c0381259-054f-83ca-6322-85efaf6892f9/manifest,,,,,1
PL.71 ARCHITECTURE No.3,ARCHITECTURE,No.3,ORDRE TOSCAN. - FENÊTRES.,○,PL.71,―,窓,A3,○,ÉTUDES DE DESSIN AU LAVIS.,―,DESSIN DES FA&Ccedil;ADES LAT&Eacute;RALES DU REZ-DE-CHAUSS&Eacute;ES DES PAVILLONS D'ANGLES DU PALAIS DU LUXEMBOURG. (PARIS.),,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/6da5e0e9-4750-4e51-0446-fcf570c979e9.json,6da5e0e9-4750-4e51-0446-fcf570c979e9,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit/document/6da5e0e9-4750-4e51-0446-fcf570c979e9,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/fbd29be9d9ef8aaff16c732834648edc198e33d8.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/541616,"東京大学大学院総合文化研究科・教養学部 駒場博物館 KOMABA MUSEUM, Graduate School of Arts and Sciences and College of Arts and Sciences, The University of Tokyo, JAPAN",,,スタニスラス・プチ 『産業実務家』,065,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/6da5e0e9-4750-4e51-0446-fcf570c979e9/manifest,,,,,1
PL.72 MENUISERIE No.5,MENUISERIE,No.5,GRANDES PORTES.,○,PL.72,―,扉,A3,○,ÉTUDES DE DESSIN AU LAVIS.,―,DESSIN DE LA PORTE D'ENTR&Eacute;E DES B&Acirc;TIMENTS DE LA SOCI&Eacute;T&Eacute; D'ENCOURAGEMENT.,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/4e05a25c-0ad9-1cc3-367a-527ea5a863f0.json,4e05a25c-0ad9-1cc3-367a-527ea5a863f0,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit/document/4e05a25c-0ad9-1cc3-367a-527ea5a863f0,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/dd4d2c00386aeae6d1f3614249206b766ad4ce55.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/541615,"東京大学大学院総合文化研究科・教養学部 駒場博物館 KOMABA MUSEUM, Graduate School of Arts and Sciences and College of Arts and Sciences, The University of Tokyo, JAPAN",,,スタニスラス・プチ 『産業実務家』,066,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/4e05a25c-0ad9-1cc3-367a-527ea5a863f0/manifest,,,,,1
PL.73 MÉCANIQUE No.56,MÉCANIQUE,No.56,MACHINES À VAPEUR -LOCOMOTIVES,○,PL.73,―,蒸気機関車,A3,―,ÉTUDES DE DESSIN AU LAVIS.,○,DESSIN SIPLIFI&Eacute; DES NOUVELLES LOCOMOTIVES &Agrave; GRANDE VITESSE. (DU SYST&Egrave;ME CRAMPTON.),,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/fbf4e0d2-26a0-5dc6-60aa-bf3853876471.json,fbf4e0d2-26a0-5dc6-60aa-bf3853876471,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit/document/fbf4e0d2-26a0-5dc6-60aa-bf3853876471,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/e914de14011f066f8146625fc475e52b45585f41.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/541614,"東京大学大学院総合文化研究科・教養学部 駒場博物館 KOMABA MUSEUM, Graduate School of Arts and Sciences and College of Arts and Sciences, The University of Tokyo, JAPAN",,,スタニスラス・プチ 『産業実務家』,067,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/fbf4e0d2-26a0-5dc6-60aa-bf3853876471/manifest,,,,,1
PL.74 MENUISERIE No.6,MENUISERIE,No.6,DEVANTURES DE MAGASINS.,○,PL.74,―,建物/商店,A3,○,ÉTUDES DE DESSIN AU LAVIS.,―,"NOUVELLE DEVANTURE DE MAGASIN CONSTRUITE RUE DU TEMPLE, No. 121, A PARIS.",,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/67993779-3f92-7803-39c1-ff8adb5425b1.json,67993779-3f92-7803-39c1-ff8adb5425b1,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit/document/67993779-3f92-7803-39c1-ff8adb5425b1,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/6c6ee74c2f18ce844329022d7f98fce36c1b9c46.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/541613,"東京大学大学院総合文化研究科・教養学部 駒場博物館 KOMABA MUSEUM, Graduate School of Arts and Sciences and College of Arts and Sciences, The University of Tokyo, JAPAN",,,スタニスラス・プチ 『産業実務家』,068,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/67993779-3f92-7803-39c1-ff8adb5425b1/manifest,,,,,1
PL.75 MÉCANIQUE No.57,MÉCANIQUE,No.57,OUTILS. -ÉTAUX.,○,PL.75,―,工具/万力,A3,―,ÉTUDES DE DESSIN AU LAVIS.,―,DESSIN D&Eacute;TAILL&Eacute; D'UN &Eacute;TAU A CHAUD OU &Eacute;TAU DE FORGE.,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/2ec683c3-2edb-3ab6-24f7-0863135f7958.json,2ec683c3-2edb-3ab6-24f7-0863135f7958,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit/document/2ec683c3-2edb-3ab6-24f7-0863135f7958,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/f49b059edc78b038a420f5c2a480aa922cdddd97.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/541612,"東京大学大学院総合文化研究科・教養学部 駒場博物館 KOMABA MUSEUM, Graduate School of Arts and Sciences and College of Arts and Sciences, The University of Tokyo, JAPAN",,,スタニスラス・プチ 『産業実務家』,069,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/2ec683c3-2edb-3ab6-24f7-0863135f7958/manifest,,,,,1
PL.76 ARCHITECTURE No.4,ARCHITECTURE,No.4,ORDRE TOSCAN. -PORTES.,○,PL.76,―,扉,A3,○,ÉTUDES DE DESSIN AU LAVIS.,―,DESSIN DE LA PORTE PRINCIPALE DU CHATEAU DE PONT-SUR-SEINE (AUBE).,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/1d1afbd7-37a7-915f-722b-856056ef7cb6.json,1d1afbd7-37a7-915f-722b-856056ef7cb6,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit/document/1d1afbd7-37a7-915f-722b-856056ef7cb6,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/a67042347d02fd6cfa1912c33adc0201e42b6fb4.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/541611,"東京大学大学院総合文化研究科・教養学部 駒場博物館 KOMABA MUSEUM, Graduate School of Arts and Sciences and College of Arts and Sciences, The University of Tokyo, JAPAN",,,スタニスラス・プチ 『産業実務家』,070,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/1d1afbd7-37a7-915f-722b-856056ef7cb6/manifest,,,,,1
PL.77 MÉCANIQUE No.58,MÉCANIQUE,No.58,CISAILLES.,○,PL.77,―,機械/裁断機,A3,―,ÉTUDES DE DESSIN AU LAVIS.,○,DESSIN D'UNE NOUVELLE CISAILLE &Agrave; GROSSES T&Ocirc;LES.,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/206ecbb5-03df-2203-67e5-67a335035b9e.json,206ecbb5-03df-2203-67e5-67a335035b9e,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit/document/206ecbb5-03df-2203-67e5-67a335035b9e,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/b4201bd46d84ab72b7a86295be3593a7225cc627.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/541610,"東京大学大学院総合文化研究科・教養学部 駒場博物館 KOMABA MUSEUM, Graduate School of Arts and Sciences and College of Arts and Sciences, The University of Tokyo, JAPAN",,,スタニスラス・プチ 『産業実務家』,071,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/206ecbb5-03df-2203-67e5-67a335035b9e/manifest,,,,,1
PL.78 MENUISERIE No.7,MENUISERIE,No.7,CONFESSIONNAL.,○,PL.78,―,建物/告解壇,A3,○,ÉTUDES DE DESSIN AU LAVIS.,―,"DESSIN D'UN CONFESSIONNAL, STYLE GOTHIQUE &Eacute;TABLI DANS L'&Eacute;GLISE St. PIERRE DE DIJON.",,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/87d66836-340d-122b-8ef8-4d5fbe1f764e.json,87d66836-340d-122b-8ef8-4d5fbe1f764e,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit/document/87d66836-340d-122b-8ef8-4d5fbe1f764e,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/7297cff4590221d8af4e67d8fcf1a85ef97536ca.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/541609,"東京大学大学院総合文化研究科・教養学部 駒場博物館 KOMABA MUSEUM, Graduate School of Arts and Sciences and College of Arts and Sciences, The University of Tokyo, JAPAN",,,スタニスラス・プチ 『産業実務家』,072,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/87d66836-340d-122b-8ef8-4d5fbe1f764e/manifest,,,,,1
PL.79 MÉCANIQUE No.59,MÉCANIQUE,No.59,POMPES. MACHINES D'ÉPUISEMENT.,○,PL.79,―,機械/ポンプ,A3,―,ÉTUDES DE DESSIN AU LAVIS.,○,"DESSIN D'UNE POMPE &Agrave; DEUX PISTONS CONSTRUITE PAR M. HUBERT, ING&Eacute;NIEUR M&Eacute;CANICIEN &Agrave; PARIS.",,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/2fc68c35-9539-3f1d-0aa5-11eff35f1703.json,2fc68c35-9539-3f1d-0aa5-11eff35f1703,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit/document/2fc68c35-9539-3f1d-0aa5-11eff35f1703,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/524b20a7f5283e92e1a393ef6327e9df709fc1fc.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/541608,"東京大学大学院総合文化研究科・教養学部 駒場博物館 KOMABA MUSEUM, Graduate School of Arts and Sciences and College of Arts and Sciences, The University of Tokyo, JAPAN",,,スタニスラス・プチ 『産業実務家』,073,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/2fc68c35-9539-3f1d-0aa5-11eff35f1703/manifest,,,,,1
PL.80 MENUISERIE No.8,MENUISERIE,No.8,GRANDES PORTES.,○,PL.80,―,門,A3,○,ÉTUDES DE DESSIN AU LAVIS.,―,"DESSIN DE LA PORTE D'ENTR&Eacute;E DU SQUARE CLARY, RUE NEUVE DES MATHURINS, No. 46, A PARIS.",,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/784c2426-4677-92a4-6312-4c275213230c.json,784c2426-4677-92a4-6312-4c275213230c,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit/document/784c2426-4677-92a4-6312-4c275213230c,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/d4ea874779514b018c8ae706d4a86422098b2b59.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/541607,"東京大学大学院総合文化研究科・教養学部 駒場博物館 KOMABA MUSEUM, Graduate School of Arts and Sciences and College of Arts and Sciences, The University of Tokyo, JAPAN",,,スタニスラス・プチ 『産業実務家』,074,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/784c2426-4677-92a4-6312-4c275213230c/manifest,,,,,1
PL.81 SERRURERIE No.2,SERRURERIE,No.2,GRILLES.,○,PL.81,―,門/格子,A3,○,ÉTUDES DE DESSIN AU LAVIS.,―,DESSIN D'UNE DES PORTES D'ENTR&Eacute;E DU D&Eacute;P&Ocirc;T No. 6 DES VOITURES DE PARIS.,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/cae9cfa0-8990-9858-22ea-027aeea77dd0.json,cae9cfa0-8990-9858-22ea-027aeea77dd0,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit/document/cae9cfa0-8990-9858-22ea-027aeea77dd0,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/638311b927cb73316e2c37e3f34f413233054a67.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/541606,"東京大学大学院総合文化研究科・教養学部 駒場博物館 KOMABA MUSEUM, Graduate School of Arts and Sciences and College of Arts and Sciences, The University of Tokyo, JAPAN",,,スタニスラス・プチ 『産業実務家』,075,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/cae9cfa0-8990-9858-22ea-027aeea77dd0/manifest,,,,,1
PL.82 MÉCANIQUE No.60,MÉCANIQUE,No.60,POMPE A INCENDIE.,○,PL.82,―,機械/ポンプ,A3,―,ÉTUDES DE DESSIN AU LAVIS.,○,"DESSIN D'UNE POMPE A INCENDIE A BALANCIER ET A CYLINDRES VERTICAUX, MONT&Eacute;E SUR SON CHARIOT.",,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/01bbf5c2-4b23-6f55-8a1d-40ba4dce402d.json,01bbf5c2-4b23-6f55-8a1d-40ba4dce402d,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit/document/01bbf5c2-4b23-6f55-8a1d-40ba4dce402d,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/ec92900e10e25e4b9e9274621d4ed3047373d9ea.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/541605,"東京大学大学院総合文化研究科・教養学部 駒場博物館 KOMABA MUSEUM, Graduate School of Arts and Sciences and College of Arts and Sciences, The University of Tokyo, JAPAN",,,スタニスラス・プチ 『産業実務家』,076,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/01bbf5c2-4b23-6f55-8a1d-40ba4dce402d/manifest,,,,,1
PL.83 ARCHITECTURE No.5,ARCHITECTURE,No.5,FENÊTRES.,○,PL.83,―,窓,A3,○,ÉTUDES DE DESSIN AU LAVIS.,―,DESSIN DE LA FA&Ccedil;ADE D'UNE DES FEN&Ecirc;TRES DU REZ-DE-CHAUSS&Eacute;E DES ANNEXES DE L'H&Ocirc;TEL DE VILLE. (PARIS.),,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/838652c5-50f9-722c-549f-6a57bc432a0d.json,838652c5-50f9-722c-549f-6a57bc432a0d,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit/document/838652c5-50f9-722c-549f-6a57bc432a0d,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/877218be9a662800884bdd8524f448f431f19024.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/541604,"東京大学大学院総合文化研究科・教養学部 駒場博物館 KOMABA MUSEUM, Graduate School of Arts and Sciences and College of Arts and Sciences, The University of Tokyo, JAPAN",,,スタニスラス・プチ 『産業実務家』,077,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/838652c5-50f9-722c-549f-6a57bc432a0d/manifest,,,,,1
PL.84 MÉCANIQUE No.61,MÉCANIQUE,No.61,MACHINES A VAPEUR.,○,PL.84,―,蒸気機関,A3,―,ÉTUDES DE DESSIN AU LAVIS.,○,"DESSIN D'UNE MACHINE A VAPEUR HORIZONTALE CONSTRUITE DANS LES ATELIERS DE Mr. ROUFFET, CONSTRUCTEUR-M&Eacute;CANICIEN A PARIS.",,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/485075a2-9ce8-368a-0b29-7718958c3f03.json,485075a2-9ce8-368a-0b29-7718958c3f03,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/petit/document/485075a2-9ce8-368a-0b29-7718958c3f03,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/46ec695b9391c82e197e520442f3ce8bb780bb66.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/541603,"東京大学大学院総合文化研究科・教養学部 駒場博物館 KOMABA MUSEUM, Graduate School of Arts and Sciences and College of Arts and Sciences, The University of Tokyo, JAPAN",,,スタニスラス・プチ 『産業実務家』,078,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/485075a2-9ce8-368a-0b29-7718958c3f03/manifest,,,,,1
