表題,種別,コレクション名,請求記号,タイトルヨミ,日付,号,面,備考,出版社,出版地,封筒,画像注記,差出,宛,編著者,年月日,サイズ,シリーズ名,iiif viewer,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,viewingHint,ソート用項目,西暦,IIIFマニフェストURI,IIIF Search API URI,アノテーション付きIIIFマニフェストURI,Link to TAPAS Project,Text with Rich Text Format,# of media
改進新聞 明治19(1886)年1月6日,新聞,宮武外骨蒐集資料(改進新聞),N11-6-2,カイシンシンブン,1886-01-06,841,1-4,,三益社,東京,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/97fa1aee-1f34-13df-1fb7-e0da14a3103d.json,97fa1aee-1f34-13df-1fb7-e0da14a3103d,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/97fa1aee-1f34-13df-1fb7-e0da14a3103d,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/402daaf564f7bb9f30489fb5b0e3dc0cb862c776.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/416238,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo Faculty of Law and Graduate Schools for Law and Politics, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/97fa1aee-1f34-13df-1fb7-e0da14a3103d/manifest,,,,,4
廣島縣官員録 明治七年,静止画資料,宮武外骨蒐集資料(府藩県制史関係),GF:83:2,,,,,,,,広島県,,,,,明治7年,1点 9×16cm,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/db201932-9e49-3625-30af-222166338f4a.json,db201932-9e49-3625-30af-222166338f4a,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/db201932-9e49-3625-30af-222166338f4a,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/85ed0ddcd49bac9ce0ea94849f5cbed442e69c2c.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/423176,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo Faculty of Law and Graduate Schools for Law and Politics, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/db201932-9e49-3625-30af-222166338f4a/manifest,,,,,3
[第三大区役所より出頭要請の元館県二十四名の者につき回答],静止画資料,宮武外骨蒐集資料(府藩県制史関係),GF:2:7,,,,,,,,館県,,元館県,青森県,,壬申4月15日,1点 26×36cm,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/88f444e5-5d7d-68eb-154e-c0a075764fbf.json,88f444e5-5d7d-68eb-154e-c0a075764fbf,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/88f444e5-5d7d-68eb-154e-c0a075764fbf,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/da56727fcdedf2993f32d17d681d22eda645ee5d.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/422337,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo Faculty of Law and Graduate Schools for Law and Politics, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/88f444e5-5d7d-68eb-154e-c0a075764fbf/manifest,,,,,1
改進新聞 明治22(1889)年1月22日,新聞,宮武外骨蒐集資料(改進新聞),N11-6-2,カイシンシンブン,1889-01-22,1762,1-4,,三益社,東京,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/734cabb1-1aeb-1c71-263e-a28f6e8f0e4d.json,734cabb1-1aeb-1c71-263e-a28f6e8f0e4d,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/734cabb1-1aeb-1c71-263e-a28f6e8f0e4d,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/8a118e4f2984e630fbc083d34c32641ed7e8b0ad.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/417079,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo Faculty of Law and Graduate Schools for Law and Politics, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/734cabb1-1aeb-1c71-263e-a28f6e8f0e4d/manifest,,,,,4
改進新聞 明治26(1893)年3月9日,新聞,宮武外骨蒐集資料(改進新聞),N11-6-2,カイシンシンブン,1893-03-09,3025,1-4,,三益社,東京,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/c889c1dc-7955-1d2a-170a-40eaa9ff60f3.json,c889c1dc-7955-1d2a-170a-40eaa9ff60f3,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/c889c1dc-7955-1d2a-170a-40eaa9ff60f3,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/f223b66551627668b09c7678666c1114233142cc.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/417429,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo Faculty of Law and Graduate Schools for Law and Politics, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c889c1dc-7955-1d2a-170a-40eaa9ff60f3/manifest,,,,,4
下等小學進級試験方法別冊之通改正追加...,静止画資料,宮武外骨蒐集資料(府藩県制史関係),GF:26:28,,,,,,,,栃木県(一),「栃木県(一)」「栃木県 日光県・宇都宮県別袋」の2封筒あり,栃木縣令鍋島幹,,,明治7年12月23日,1綴(9丁) 25×78cm,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/bfb41829-47be-2d7e-803d-f233fd694459.json,bfb41829-47be-2d7e-803d-f233fd694459,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/bfb41829-47be-2d7e-803d-f233fd694459,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/e280f09a1962a22789a97c17dffc577ccc414ea3.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/422767,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo Faculty of Law and Graduate Schools for Law and Politics, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/bfb41829-47be-2d7e-803d-f233fd694459/manifest,,,,,10
(長途旅行(関西2府11県)関係資料),,宮武外骨蒐集資料(外骨書函パンフレット類),GP020:C56,,,,,,,,,,,,宮武外骨,,1綴 18×26cm,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/3e1e6716-3670-4a7d-952f-814fbbde2f57.json,3e1e6716-3670-4a7d-952f-814fbbde2f57,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/3e1e6716-3670-4a7d-952f-814fbbde2f57,http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/d0b3fcb461dc650ee58611683fd6b21570b8b48a.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72616,"明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,1,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/3e1e6716-3670-4a7d-952f-814fbbde2f57/manifest,,,,,54
東北旅行日記,,宮武外骨蒐集資料(外骨書函パンフレット類),GP020:To25,,,,,,,,,画像は一部のみ。明治新聞雑誌文庫館内にて全部閲覧可。,,,宮武外骨,,1綴 11×16cm,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/a494dcdb-2361-449e-9241-bbf05e70a7c1.json,a494dcdb-2361-449e-9241-bbf05e70a7c1,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/a494dcdb-2361-449e-9241-bbf05e70a7c1,http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/8218279323742c6ee0a21c91a1e00c95b10ee1bc.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72624,"明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,10,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/a494dcdb-2361-449e-9241-bbf05e70a7c1/manifest,,,,,29
切抜き,,宮武外骨蒐集資料(外骨書函パンフレット類),GP040:Ko44:06,,,,,,,,,,,,,,2点,古今奇語集成,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/a5c0bf02-8b60-473e-81f6-94495cf23c22.json,a5c0bf02-8b60-473e-81f6-94495cf23c22,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/a5c0bf02-8b60-473e-81f6-94495cf23c22,http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/a6ee450abd83a6a780d6e0eda3ee173bbca1e1ed.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72707,"明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,100,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/a5c0bf02-8b60-473e-81f6-94495cf23c22/manifest,,,,,3
雑誌頁(部分),,宮武外骨蒐集資料(外骨書函パンフレット類),GP040:Ko44:07,,,,,,,,,,,,,,1枚 18×24cm,古今奇語集成,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/d0bd2718-aaf8-48ac-9baa-9622cc473378.json,d0bd2718-aaf8-48ac-9baa-9622cc473378,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/d0bd2718-aaf8-48ac-9baa-9622cc473378,http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/e6210c8cf11bb9967931a2652cfa17a4f09cc129.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72708,"明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,101,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/d0bd2718-aaf8-48ac-9baa-9622cc473378/manifest,,,,,1
生殖器崇拝の分布,,宮武外骨蒐集資料(外骨書函パンフレット類),GP040:Ko44:08,,,,,,,,,,,,,,1枚 22×35cm,古今奇語集成,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/48565c21-80dc-4573-a06c-36dd51a9667e.json,48565c21-80dc-4573-a06c-36dd51a9667e,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/48565c21-80dc-4573-a06c-36dd51a9667e,http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/ad2cb120c657c19884b4dcb6e862a0ca13f89e3e.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72709,"明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,102,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/48565c21-80dc-4573-a06c-36dd51a9667e/manifest,,,,,1
原稿,,宮武外骨蒐集資料(外骨書函パンフレット類),GP040:Ko44:09,,,,,,,,,,,,,,2点 25×33cm,古今奇語集成,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/ff4ac676-4e9b-4df8-a167-21e419f334d6.json,ff4ac676-4e9b-4df8-a167-21e419f334d6,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/ff4ac676-4e9b-4df8-a167-21e419f334d6,http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/8fa55117b8441924a077fc1a969b8f41d309acb7.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72710,"明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,103,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/ff4ac676-4e9b-4df8-a167-21e419f334d6/manifest,,,,,3
「古今奇語集成」頁(部分),,宮武外骨蒐集資料(外骨書函パンフレット類),GP040:Ko44:10,,,,,,,,,,,,,,2点 22×25cm,古今奇語集成,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/ebbce4b2-f339-4da3-ae6c-4e7924ef4e8b.json,ebbce4b2-f339-4da3-ae6c-4e7924ef4e8b,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/ebbce4b2-f339-4da3-ae6c-4e7924ef4e8b,http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/bdc3756760984a5aa985716baebb4b4d50b1af24.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72711,"明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,104,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/ebbce4b2-f339-4da3-ae6c-4e7924ef4e8b/manifest,,,,,2
[石碑関係新聞雑誌切抜類],,宮武外骨蒐集資料(外骨書函パンフレット類),GP040:Se28,,,,,,,,,,,,,,35点 33cm,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/394db6dc-8cee-4bda-97c6-0f537533fea7.json,394db6dc-8cee-4bda-97c6-0f537533fea7,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/394db6dc-8cee-4bda-97c6-0f537533fea7,http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/b14ba22b3f240d1ab8c7de8bf7be982d753e493f.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72712,"明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,105,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/394db6dc-8cee-4bda-97c6-0f537533fea7/manifest,,,,,68
新案著作と講演,,宮武外骨蒐集資料(外骨書函パンフレット類),GP040:Sh59,,,,,,,,,,,,宮武外骨,,1綴 13×9cm,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/a7e471f8-be89-4260-a9dc-1e613cf98a30.json,a7e471f8-be89-4260-a9dc-1e613cf98a30,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/a7e471f8-be89-4260-a9dc-1e613cf98a30,http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/41567d55a07f00d71b246fce9a31b512cf19ba8b.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72713,"明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,106,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/a7e471f8-be89-4260-a9dc-1e613cf98a30/manifest,,,,,50
新聞雑誌切抜(1),,宮武外骨蒐集資料(外骨書函パンフレット類),GP040:Sh592:01,,,,,,,,,,,,,,1綴 26×18cm 18丁,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/325fc71c-9aea-4fbd-a7b8-5cf97ed30a96.json,325fc71c-9aea-4fbd-a7b8-5cf97ed30a96,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/325fc71c-9aea-4fbd-a7b8-5cf97ed30a96,http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/35ec13144e9ec89d4ae5d51feddcec2d14aec1e8.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72714,"明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,107,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/325fc71c-9aea-4fbd-a7b8-5cf97ed30a96/manifest,,,,,68
新聞雑誌切抜(2),,宮武外骨蒐集資料(外骨書函パンフレット類),GP040:Sh592:02,,,,,,,,,,,,,,1綴 26×36cm,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/97b34efa-7543-4629-8511-f8435e03e516.json,97b34efa-7543-4629-8511-f8435e03e516,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/97b34efa-7543-4629-8511-f8435e03e516,http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/cbfe3a1a41d09e779ddf0fd3043083f9822ae0f7.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72715,"明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,108,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/97b34efa-7543-4629-8511-f8435e03e516/manifest,,,,,20
渉書雑抄此花,,宮武外骨蒐集資料(外骨書函パンフレット類),GP040:Sh96,,,,,,,,,,,,,,1綴 29×22cm,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/4e34bdd4-6afe-4a73-b846-e7105f569c16.json,4e34bdd4-6afe-4a73-b846-e7105f569c16,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/4e34bdd4-6afe-4a73-b846-e7105f569c16,http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/6c3339cb1fb1faecef64c2e99f49e3bf0075affa.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72716,"明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,109,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/4e34bdd4-6afe-4a73-b846-e7105f569c16/manifest,,,,,16
随筆・我時・雑記,,宮武外骨蒐集資料(外骨書函パンフレット類),GP040:Z6,,,,,,,,,,,,宮武外骨,,1綴(34丁) /形態:冊子 /24cm×16cm,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/ca437859-98e0-4af7-a4fd-ac0ddf1d51d7.json,ca437859-98e0-4af7-a4fd-ac0ddf1d51d7,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/ca437859-98e0-4af7-a4fd-ac0ddf1d51d7,http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/98ec2e5c4c175dfda37a9a066700fb7776f862a8.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72717,"明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,111,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/ca437859-98e0-4af7-a4fd-ac0ddf1d51d7/manifest,,,,,99
在阪時代の投書集,,宮武外骨蒐集資料(外骨書函パンフレット類),GP040:Z12,,,,,,,,,,,,宮武外骨,,1綴(12丁) /形態:冊子 /12cm×30cm,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/4db44f87-0a65-4e79-8d6b-8f592a23dcb7.json,4db44f87-0a65-4e79-8d6b-8f592a23dcb7,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/4db44f87-0a65-4e79-8d6b-8f592a23dcb7,http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/3274c0c80cb6d2330f9ee9c2daf261fbd7fc1cdf.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72718,"明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,112,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/4db44f87-0a65-4e79-8d6b-8f592a23dcb7/manifest,,,,,25
郷土博物館,,宮武外骨蒐集資料(外骨書函パンフレット類),GP060:Ky2,,,,,,,,,,,,宮武外骨,,1綴(25丁) /形態:冊子 /12cm×8cm,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/86ec59ac-b4c4-413a-81db-6a8e9a9c872c.json,86ec59ac-b4c4-413a-81db-6a8e9a9c872c,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/86ec59ac-b4c4-413a-81db-6a8e9a9c872c,http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/4d086b994edd1327c1609e527fc5b4c15047ee03.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72719,"明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,113,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/86ec59ac-b4c4-413a-81db-6a8e9a9c872c/manifest,,,,,21
[全国官員録一覧],,宮武外骨蒐集資料(外骨書函パンフレット類),GP080:G14:01,,,,,,,,,,,,宮武外骨,,1綴(30丁) /形態:冊子 /12cm×16cm,[外骨覚書],http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/f9b12318-7587-4590-a898-002efd81511f.json,f9b12318-7587-4590-a898-002efd81511f,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/f9b12318-7587-4590-a898-002efd81511f,http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/d103b3be1afd964d20de78e0456caa13ce5bfe7c.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72720,"明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,114,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/f9b12318-7587-4590-a898-002efd81511f/manifest,,,,,30
