タイトル,書名よみ,書誌情報,請求記号,画像,内容記述,区分,Digitized Publisher,iiif viewer,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,viewingHint,コレクション,ソート用項目,西暦,IIIFマニフェストURI,IIIF Search API URI,アノテーション付きIIIFマニフェストURI,Link to TAPAS Project,Text with Rich Text Format,# of media
織紝小記(ショクジン ショウキ) .,ショクジン ショウキ,"([製作地不明] : [森鴎外], [1---]) 1冊 ; 24cm 注記: 書名は題簽による ; 写本 ; 吉田亀壽撰『織物組織編』より抄出 ; 和装. 袋綴じ",鴎XB20:23,全頁,吉田亀寿著『織物組織編』(大日本織物協会刊、明治30年(1897)12月)から抄写したノートで、手機、力機、ドビー機など織機の種類や構造について、また平織、綾織、繻子織などの織物種類、並子、斜子、斜文などの文様の種類などが図を交えて詳細に写されている。また『字典』から織物関連用字・用語の抜書がされており、英訳やドイツ語訳がなされている。鴎外の晩年に散見される山加製原稿用紙が使用されている。鴎外の多方面への関心を伝える資料である。(神),和書,鴎外文庫書入本画像データベース,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/0b522ecf-ad18-40df-99fc-ecfdf3a012e3.json,0b522ecf-ad18-40df-99fc-ecfdf3a012e3,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/document/0b522ecf-ad18-40df-99fc-ecfdf3a012e3,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/0d503ec2aa9d897fed9b5277628f487d3c0d261d.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/328,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/0b522ecf-ad18-40df-99fc-ecfdf3a012e3/manifest,,,,,24
Aesthetik .,Aesthetik .,"2 wohlfeile Ausgabe. Leipzig : Wilhelm Friedrich, [1886]-[1887]. 2 v. in 1 ; 24 cm. -- (Eduard von Hartmann's Ausgewöhlte Werke ; Bd. 3, 4) 内容: 1. historisch-kritischer Theil: Die deutsche Aesthetik seit Kant ; 2. systematischer Theil: Philosophie des Schönen",鴎A100:1665,書入頁,"エドワルド・フォン・ハルトマン『美学』。 『審美論』『審美綱領』の編訳原本。鴎外は当初、理想・実際の二元的な分析を行うゴットシャル(R.v.Gottschall)の『詩学』を標準にしていたが、明治23年(1890)5月の『報知異聞に寄す』以降、一元的な美の形而上学を説くハルトマンに依拠するようになる。その後も、逍遥との「没理想論争」以下、積極的に援用された。この間の状況については、『逍遥子の諸標語』において、「われ嘗てゴツトシヤルが詩学に拠り、理想実際の二派を分ちて、時の人の批評法を論ぜしことありしが、今はひと昔になりぬ。程経て心をハルトマンが哲学に傾け、其審美の巻に至りて、得るところあるものゝ如し。」と記されている。(山)|関連作品: 『審美論』『審美綱領』(全集21巻)|関連作品: 『報知異聞に寄す』(全集22巻)|関連作品: 『逍遥子の諸標語』(全集23巻)|参考文献: 小堀桂一郎『森鴎外−文業解題』創作編,岩波書店,1982年|参考文献: 神田孝夫「鴎外初期の文芸評論」(『比較文学研究』4巻1・2号,1957年6月)",洋書,鴎外文庫書入本画像データベース,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/0b6119a4-a55f-4019-8e7d-59bd9bbbbdb2.json,0b6119a4-a55f-4019-8e7d-59bd9bbbbdb2,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/document/0b6119a4-a55f-4019-8e7d-59bd9bbbbdb2,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/de0dbfd78d28f2b995938d1860488660c6c1747a.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/329,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",,,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/0b6119a4-a55f-4019-8e7d-59bd9bbbbdb2/manifest,,,,,293
真野文書(マノ モンジョ) . [写本],マノ モンジョ,"([製作地不明] : 森鴎外, [1---]) 2冊 ; 24cm -- 上;下 注記: 書名は題簽による ; 写本 ; 巻末に「右真野竹亭手書冊子一巻、曽孫幸作所藏、大正五年十月二十七日借抄、源高湛」とあり ; 和装. 袋綴じ ; 附: 竹亭草稿",鴎H20:470,全頁,本書は、『伊沢蘭軒』の資料である。2冊に分かれ、「上」は真野竹亭および松宇父子の略年譜と、父子が安永9年(1780)に幕府に提出した由緒書の控え、「下」は竹亭の遺文の抄録である。おおむね鴎外の筆であるが、一部には別筆も見られる。 『伊沢蘭軒』その百十六には、松宇の孫である幸作の来訪が記され、「わたくしに家乗の一端を語った」とある。また、「竹亭の遺した無題僉の一小冊子がある」ともあって、作中に竹亭の漢詩が引用されているが、本書「下」にはそれらの漢詩をおさめる「竹亭雑記」の抄録が含まれる。その末尾には、「右真野竹亭手書冊子一巻、曾孫幸作所蔵、大正五年十月二十七日借抄、源高湛」との識語が記されているので、本書もこのころの制作と考えられる。(出)|関連作品: 『伊沢蘭軒』(全集17巻) http://www.aozora.gr.jp/cards/000129/card2084.html,和書,鴎外文庫書入本画像データベース,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/0c87d662-4030-4a4d-a43d-bbed1e8391d8.json,0c87d662-4030-4a4d-a43d-bbed1e8391d8,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/document/0c87d662-4030-4a4d-a43d-bbed1e8391d8,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/08a73351bc694971e8992c20b017bbc46b10d277.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/330,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/0c87d662-4030-4a4d-a43d-bbed1e8391d8/manifest,,,,,107
游東陬録(ユウトウ スウロク) / 松崎復著. [写本],ユウトウ スウロク,"([製作地不明] : [澁江保], [1---]) 1冊 ; 24cm 注記: 書名及び責任表示は巻頭による ; 海野豫校 ; 写本 ; 和装. 袋綴じ",鴎E44:379,全頁,儒者松崎慊堂が文政元年(1818)年旧暦5月4日から6月13日にかけて東北地方を旅行した際の紀行文。本コレクション所蔵『遊豆小志』(鴎E44:377)の跡を継ぐ文章である。奥州白河・松島など名所旧跡をめぐる旅から自邸に戻るまでの日記で、『伊沢蘭軒』『北條霞亭』の資料となった、渋江保筆写の慊堂関係文書の一つと考えられる。(多)|関連作品: 『伊沢蘭軒』(全集17巻) http://www.aozora.gr.jp/cards/000129/card2084.html|関連作品: 『北条霞亭』(全集18巻),和書,鴎外文庫書入本画像データベース,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/0d67486b-2d4f-46f4-871d-efc2b9fb8d79.json,0d67486b-2d4f-46f4-871d-efc2b9fb8d79,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/document/0d67486b-2d4f-46f4-871d-efc2b9fb8d79,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/c6c7fb30b42644c4fbd4fdc58a46473fdfd463e1.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/331,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/0d67486b-2d4f-46f4-871d-efc2b9fb8d79/manifest,,,,,60
狂歌作者部類(キョウカ サクシャ ブルイ) / 住田勘次撰. [写本],キョウカ サクシャ ブルイ,"([製作地不明] : [森鴎外], [1---]) 1冊 ; 24cm 注記: 書名及び責任表示は巻頭による ; 写本 ; 和装. 袋綴じ",鴎E31:531,全頁,狂歌作者の出自・号などを目録にしたものを鴎外が筆写した本。著者として名が記される住田勘次は、近世の狂歌師玉光舎占正のことと思われるが、底本は未詳である。(多),和書,鴎外文庫書入本画像データベース,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/0dc3c5a3-505e-4208-be96-942b85e3f66a.json,0dc3c5a3-505e-4208-be96-942b85e3f66a,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/document/0dc3c5a3-505e-4208-be96-942b85e3f66a,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/c8b8c035e56b2ab4c946f9394c173f5652603fea.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/332,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/0dc3c5a3-505e-4208-be96-942b85e3f66a/manifest,,,,,39
成唯識論 10巻(ジョウユイシキロン) / (唐釋)玄奘奉詔譯 ; (日本釋)眞興[注].,ジョウユイシキロン,"大阪 : 河内屋喜兵衞, 元禄16.1[1703][刊] 5冊 ; 27cm -- 卷第1-2 - 卷第9-10 注記: 護法等菩薩造 ; 巻末に「奉寄衲大般若經六百卷紀州室郡鹽崎庄池之口龍谷山靈岩禪寺 施主池之口村中西喜兵衞勝行同姓孫佐衞門勝應 于旹元禄十六癸未正月念九日 幻住傳法沙門宗本禪叟」とあり ; 四周単辺無界 ; 首書本 ; 朱筆書き入れあり",鴎C40:1076,書入頁の一部(主に欧文),玄奘による、世親著の『唯識三十論頌』の注釈書。法相宗の成立に大きく寄与した書物であり、中国法相宗の教学の基礎となった。本書は、安和元年に興福寺の真興によって批点の付された本文を収める。鴎外の書入れは巻3と巻6に集中しており、本文中の語の意味がドイツ語で記されている。読書年次は不明であるが、鴎外の仏教理解の過程がうかがわれて興味深い。また、鴎外の『生田川』(『中央公論』明治43年(1910)4月)には、『成唯識論』の偈が引用されている。(出)|関連作品: 『生田川』(全集6巻),和書,鴎外文庫書入本画像データベース,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/0ed0ed05-fba5-4d3b-94c8-b337358c4194.json,0ed0ed05-fba5-4d3b-94c8-b337358c4194,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/document/0ed0ed05-fba5-4d3b-94c8-b337358c4194,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/e692f5b779ff35b10c70bb97ddc4ee655cb8c667.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/333,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/0ed0ed05-fba5-4d3b-94c8-b337358c4194/manifest,,,,,42
皋鶴堂批評第一奇書金瓶梅 100回坿讀法(コウカクドウ ヒヒョウ ダイイチ キショ キンペイバイ) / [(明)笑笑生撰] ; (清)張竹坡[批].,コウカクドウ ヒヒョウ ダイイチ キショ キンペイバイ,"[出版地不明] : 在茲堂, 康熙34[1695][刊] 20冊 ; 24cm -- 讀法 - 第94-100囘 注記: 目首及び封面の書名: 第一竒書 ; 表紙(墨書)の書名: 金瓶梅 ; 封面の責任表示: 李笠翁先生著 ; 四周単辺無界 ; 朱墨書き入れあり",鴎E46:139,書入頁の一部(文字書入のみ),"著者不明・李笠翁批点『金瓶梅』は明代の長編白話小説で、中国四大奇書の一。日本でも、馬琴『新編金瓶梅』など、近世期から様々なかたちで翻案されてきた。 本書は、鴎外若年時の愛読書であった。鴎外『雁』には、書生の「僕」が神田で「唐本の金瓶梅」を購入する場面があり、『ヰタ・セクスアリス』にも、文淵先生(モデルは依田学海)の机の下から、同書が覗く場面がある。 書入れは墨筆、朱筆、青筆。第五十九回の欠落部分は、墨筆で全て補っている。ゴットシャルの小説論と李笠翁の論を対比する箇所など、小説観が窺える書入れも多い。『情史類略』、『石点頭』、『西青散記』といった、比較的短い説話集への書入れとは別に、長篇小説の読み方が窺える、貴重な資料である。(多)|関連作品: 『雁』(全集8巻)|関連作品: 『ヰタ・セクスアリス』(全集5巻)|参考文献: 前田愛「鴎外の中国小説趣味」(『言語と文芸』38号,1965年1月)",和書,鴎外文庫書入本画像データベース,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/0fab37ab-086c-49b3-98b8-81c0a3e0a56c.json,0fab37ab-086c-49b3-98b8-81c0a3e0a56c,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/document/0fab37ab-086c-49b3-98b8-81c0a3e0a56c,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/216718e32a06d1d6cfbeb8d9bc24093380401a46.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/334,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/0fab37ab-086c-49b3-98b8-81c0a3e0a56c/manifest,,,,,124
Schillers sämmtliche Werke in zwölf Bänden .,Schillers sämmtliche Werke in zwölf Bänden .,"Leipzig : P. Reclam, [1---]. 12 v. in 4 ; 17 cm. 内容: Bd. 1. Gedichte ; Bd. 2. Die Räuber ; Die Verschwörung des Fiesco zu Genua ; Kabale und Liebe ; Der Menschenfeind ; Bd. 3. Iphigenie in Aulis. Scenen aus den Phönizierinnen des Euripides. Don Carlos, Infant von Span- ien ; Bd. 4. Wallenstein ; Bd. 5. Maria Stuart. Die Jungfrau von Orleans. Die Braut von Messina ; Bd. 6. Wilhelm Tell. Die Huldigung der Künste. Macbeth. Turandot, Prinzessin von China ; Bd. 7. Phädra. Der Parasit oder die Kunst, sein Glück zu machen. Der Neffe als Onkel. Nachlass ; Bd. 8 Geschichte des Abfalls der vereinigten Niederlande von der spanischen Regierung ; Bd. 9. Geschichte des dreissigjährigen Kriegs ; Bd. 10. Prosaische Schriften, erste und zweite Periode ; Bd. 11.-12. Kleine Schriften vermischten Inhalts",鴎E400:516,書入頁,"ヨハン・クリストフ・フリードリヒ・フォン・シラー『シラー作品集 全12巻』全4冊(レクラム文庫版)。 この全集によって、鴎外はシラーのほとんど全ての作品を読んでいる。ドイツ留学中の読書と見られ、精読の形跡はあるが、ここから訳出した作品はない。 ゲーテ(J.W.v.Goethe)と共に、ドイツの文化を代表する詩人として重要視し、深い関心を持っていた。『今の諸家の小説論を読みて』では、「現実主義」のゲーテに対して「理想主義に依ること多き」詩人と評した。吾醒廬主人による、詩『Die Spazierung unter den Linden』訳出『菩提樹畔の逍遥』上・下(『国民之友』明治22年8-9月)が出た時は、独酔庵主人の名で『「菩提樹畔の逍遥」細評』を物して長大な批評・注解を行ってもいる。一方で、ドイツの政治的自由の暗面や、学問的自由の問題などにも関心があったらしい。「革命」、「自由之文華」等の書入れもある。 他、『うたかたの記』(全集2巻)中のミュンヘンのシラー記念像の記述、『独逸日記』(全集35巻)中の『ドン・カルロス』(Don Carlos、本書3巻)観劇(明治18年1月18日)・執筆の地への訪問(同12月6日)など、文学論文や『シルレル伝』等の紹介以外にも、様々な局面でシラーに言及している。『シルレルが医たりし時の事を記す』で軍医時代のシラーについて書いており、境遇の類似を意識していたふしも見える。(山)|関連作品: 『今の諸家の小説論を読みて』(全集22巻)|関連作品: 『シルレルが医たりし時の事を記す』(全集22巻)|関連作品: 『シルレル伝』(全集23巻)|参考文献: 寺内ちよ「ドイツ時代の鴎外の読書調査−資料研究−」(『比較文学研究』4巻1・2号,1957年6月)|参考文献: 清田文武『鴎外文芸の研究』青年期篇,有精堂出版,1991年",洋書,鴎外文庫書入本画像データベース,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/10d4e80a-83d7-4517-80ae-fe44f6c1b1e0.json,10d4e80a-83d7-4517-80ae-fe44f6c1b1e0,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/document/10d4e80a-83d7-4517-80ae-fe44f6c1b1e0,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/2dca24dfe4905283e8fede75b6138b3b37d24eb9.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/335,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",,,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/10d4e80a-83d7-4517-80ae-fe44f6c1b1e0/manifest,,,,,243
冠註傍解注心經(カンチュウ ボウカイ チュウ シンギョウ) / (宋釋)道隆蘭溪述 ; (日本)町元呑空註解.,カンチュウ ボウカイ チュウ シンギョウ,"京都 : 出雲寺文次郎 東京 : 森江佐七, 1887.6 19丁 ; 26cm 注記: 書名及び責任表示は巻頭による ; 見返しに「出雲寺松栢堂森江擁萬閣合梓」とあり ; 版心に「二書房藏」 とあり ; 木版 ; 和装. 袋綴じ",鴎C40:776,全頁(ほぼ全頁に書入有),『般若心経』の本文に蘭渓道隆が注を付けた『注心経』に対し、町元呑空がさらに注解を行った書。鴎外の書入れは全篇にわたるが、おおむね二種類に大別される。第一には『大乗起信論』などの書物からの引用であり、鴎外が他書とも併せて読むことで『般若心経』の理解につとめたことが知られる。第二には、仏教語に対してドイツ語で語義を記したものであり、鴎外の仏教教学理解の過程がうかがわれて興味深い。14丁裏にはショーペンハウエルの名前も見えている。(出),和書,鴎外文庫書入本画像データベース,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/11087616-7dd4-44a1-ba5f-4236497b4432.json,11087616-7dd4-44a1-ba5f-4236497b4432,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/document/11087616-7dd4-44a1-ba5f-4236497b4432,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/de4dcb235924382e3c4f74e6e7ef3ba340a50f97.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/336,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/11087616-7dd4-44a1-ba5f-4236497b4432/manifest,,,,,24
惠美氏譜牒(エミシ フチョウ) . [写本],エミシ フチョウ,"([製作地不明] : [製作者不明], [1---]) 1冊 ; 25cm 注記: 書名は題簽による ; 写本 ; 和装. 袋綴じ",鴎H20:464,全頁,広島の医家、恵美氏についての系図である。冒頭、「市次郎」という人物が鴎外に宛てた書翰2通が合綴されており、1通目には「広島大手町一丁目井原市次郎」、2通目には「丁巳十二月十一日付郵」と鴎外自筆で書込まれている。さらに、謄写版による本文はこの書翰本文と同筆と見られるので、本書はこの井原市次郎が、大正6年(1917)に鴎外に宛てて送付した資料を一冊にまとめたものと推定できる。ただし、最後の2丁に記された「恵美三白」、「恵美大笑」、「恵美三圭」の略伝については、執筆者および来歴ともに不明である。 『北条霞亭』その九十一では、霞亭の詩に出てくる恵美氏について、「井原市次郎さんの云ふを聞くに」と注記して考証が加えられており、本書はこの部分を執筆するに際して用いられた資料と考えられる。また、同作のその百二十に登場する「井原市次郎さんに乞ひ得た譜牒」とは、本書のことであろう。本文の欄上には、鴎外を含む複数の筆跡によって補足情報が書入れられており、執筆にあたって丹念な調査が行われていたことがわかる。(出)|関連作品: 『北条霞亭』(全集18巻),和書,鴎外文庫書入本画像データベース,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/116f9ca8-3324-487e-9379-c4b87e2dc5ee.json,116f9ca8-3324-487e-9379-c4b87e2dc5ee,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/document/116f9ca8-3324-487e-9379-c4b87e2dc5ee,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/11d60fc218e93ec8a328b7b3dd03ca560e81d9a7.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/337,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/116f9ca8-3324-487e-9379-c4b87e2dc5ee/manifest,,,,,20
説文識小(セツモン シキショウ) . [写本],セツモン シキショウ,"([製作地不明] : [森鴎外], [1---]) 38丁 ; 25cm 注記: 書名は題簽による ; 写本 ; 和装. 袋綴じ",鴎D40:191,全頁,中国文字学、とくに『説文』関係書についての自筆ノート。鴎外晩年の制作と推定される。はじめに、中国の文字学の系譜と書目について整理を行い、その後に、『説文繋伝』や『字学七種』といった小学の書物から、文字の釈義などを手録している。(合),和書,鴎外文庫書入本画像データベース,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/135707b0-d7b3-4f8a-9ceb-c4c99735c044.json,135707b0-d7b3-4f8a-9ceb-c4c99735c044,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/document/135707b0-d7b3-4f8a-9ceb-c4c99735c044,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/fe22ce2b7ef0b2e2449ab4fb3f1a4540b328e538.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/338,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/135707b0-d7b3-4f8a-9ceb-c4c99735c044/manifest,,,,,41
澀江脩略傳坿句鈔(シブエ シュウ リャクデン フ クショウ) . [写本],シブエ シュウ リャクデン フ クショウ,"([製作地不明] : [澁江終吉], [1---]) 1冊 ; 24cm 内容: 澁江脩ノ履歴 / [澁江終吉著] ; 吟月作句 / [澁江脩著] 注記: 題簽の書名: 澀江脩傳 ; 写本 ; 和装. 袋綴じ",鴎H20:519,全頁,渋江終吉筆の原稿を鴎外が1冊に綴じた本。『渋江抽斎』の資料となった。鴎外による朱筆の書入れが見られる。終吉は抽斎の息子である脩の子。 「略伝」は明治2年(1869)から41年(1908)までの脩の履歴であり、「渋江脩ノ履歴」、「家族関係」に分かれる。「句鈔」には「吟月作句」の題が付され、吟月と号した脩の句240を収める。句の一部は、『渋江抽斎』その百十一に抄出されている。(出)|関連作品: 『渋江抽斎』(全集16巻) http://www.aozora.gr.jp/cards/000129/card2058.html,和書,鴎外文庫書入本画像データベース,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/156bf3f5-4b37-4976-89f0-a143fca3c407.json,156bf3f5-4b37-4976-89f0-a143fca3c407,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/document/156bf3f5-4b37-4976-89f0-a143fca3c407,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/ecead2ff2eb1c99756676febdf404e7aed35d22b.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/339,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/156bf3f5-4b37-4976-89f0-a143fca3c407/manifest,,,,,14
雜記 : 人名類(ザッキ : ジンメイルイ) . [写本],ザッキ : ジンメイルイ,"([製作地不明] : [森鴎外], [1916-1919]) 2冊 ; 24cm -- 1;2 注記: 書名は題簽による ; 写本 ; 和装. 袋綴じ ; 1: 丙辰. 2: 己未",鴎H20:523,全頁,"鴎外ほか複数の筆跡による原稿などを綴じた本。『渋江抽斎』、『伊沢蘭軒』、『北條霞亭』の資料となった。 2冊に分かれ、第1冊は「津軽氏(朱書)/大名の生活」と題する五百の事蹟、「津軽氏系」、「阿部氏」、「大田原氏」、「洋学発端」など、諸家についての調査記録である。大正5年(1916)の『伊沢蘭軒』連載中、鴎外に寄せられた書簡も含み、表紙裏には鴎外自筆の目録が記されている。第2冊は「佐藤一斎」、「沢村西陂」、「若山勿堂」、「安積艮斎」、「朝川善庵」、「市野迷庵」などの項目に分かれ、これら諸家についての調査記録が記されている。鴎外に寄せられた書簡や、謄写版の資料も合綴されている。(出)|関連作品: 『渋江抽斎』(全集16巻) http://www.aozora.gr.jp/cards/000129/card2058.html|関連作品: 『伊沢蘭軒』(全集17巻) http://www.aozora.gr.jp/cards/000129/card2084.html|関連作品: 『北条霞亭』(全集18巻)|参考文献: 小泉浩一郎「『渋江抽斎』論—出典と作品—」(『言語と文芸』47号,1966年7月)|参考文献: 坂本秀次「「鴎外文庫」目録抄(第九回)〜岡野蔵本『目録』「和漢書之部」より〜」(『鴎外』33号,1983年7月)",和書,鴎外文庫書入本画像データベース,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/15aafdc2-1da9-4117-8cea-c28de1ca5ba4.json,15aafdc2-1da9-4117-8cea-c28de1ca5ba4,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ogai/document/15aafdc2-1da9-4117-8cea-c28de1ca5ba4,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/f75f2cdb24ec8100f60cd6b9e72fb50a98b2a3e7.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/340,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/15aafdc2-1da9-4117-8cea-c28de1ca5ba4/manifest,,,,,135
